2025-05-27 19:47:07,510 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=139, MaxR=14.80, Pheno={'G_SPECIALIST': 139, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,519 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=160
2025-05-27 19:47:07,521 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=162, MaxR=14.80, Pheno={'G_SPECIALIST': 162, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,533 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=177, MaxR=16.52, Pheno={'G_SPECIALIST': 177, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,545 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=196, MaxR=18.08, Pheno={'G_SPECIALIST': 196, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,559 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=216, MaxR=18.73, Pheno={'G_SPECIALIST': 216, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,574 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=236, MaxR=20.42, Pheno={'G_SPECIALIST': 236, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,591 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=250, MaxR=21.63, Pheno={'G_SPECIALIST': 250, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,607 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=267, MaxR=22.11, Pheno={'G_SPECIALIST': 267, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,625 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=286, MaxR=22.11, Pheno={'G_SPECIALIST': 286, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,646 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=311, MaxR=22.11, Pheno={'G_SPECIALIST': 311, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,667 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=329, MaxR=22.11, Pheno={'G_SPECIALIST': 329, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,685 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=350
2025-05-27 19:47:07,689 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=351, MaxR=23.30, Pheno={'G_SPECIALIST': 351, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,713 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=367, MaxR=23.30, Pheno={'G_SPECIALIST': 367, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,738 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=392, MaxR=23.30, Pheno={'G_SPECIALIST': 392, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,767 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=416, MaxR=24.25, Pheno={'G_SPECIALIST': 416, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,795 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=433, MaxR=24.25, Pheno={'G_SPECIALIST': 433, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,824 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=462, MaxR=26.15, Pheno={'G_SPECIALIST': 462, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,854 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=487, MaxR=27.22, Pheno={'G_SPECIALIST': 487, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,888 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=518, MaxR=27.22, Pheno={'G_SPECIALIST': 518, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,923 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=551, MaxR=27.50, Pheno={'G_SPECIALIST': 551, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,962 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=582, MaxR=27.87, Pheno={'G_SPECIALIST': 582, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:07,993 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=610
2025-05-27 19:47:07,999 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=612, MaxR=29.14, Pheno={'G_SPECIALIST': 612, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,042 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=650, MaxR=30.45, Pheno={'G_SPECIALIST': 650, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,087 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=696, MaxR=30.79, Pheno={'G_SPECIALIST': 696, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,135 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=741, MaxR=30.79, Pheno={'G_SPECIALIST': 741, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,187 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=782, MaxR=32.45, Pheno={'G_SPECIALIST': 782, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,241 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=827, MaxR=34.12, Pheno={'G_SPECIALIST': 827, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,296 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=868, MaxR=34.12, Pheno={'G_SPECIALIST': 868, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,354 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=917, MaxR=34.51, Pheno={'G_SPECIALIST': 917, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,415 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=963, MaxR=36.66, Pheno={'G_SPECIALIST': 963, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,479 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1004, MaxR=36.66, Pheno={'G_SPECIALIST': 1004, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,535 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1052
2025-05-27 19:47:08,547 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1055, MaxR=38.30, Pheno={'G_SPECIALIST': 1055, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,616 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1099, MaxR=39.61, Pheno={'G_SPECIALIST': 1099, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,688 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1131, MaxR=39.61, Pheno={'G_SPECIALIST': 1131, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,763 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1177, MaxR=39.61, Pheno={'G_SPECIALIST': 1177, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,842 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1229, MaxR=39.95, Pheno={'G_SPECIALIST': 1229, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:47:08,923 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1282, MaxR=40.36, Pheno={'G_SPECIALIST': 1281, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:47:09,009 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1329, MaxR=40.36, Pheno={'G_SPECIALIST': 1327, 'SWITCHING_GL': 2, 'L_SPECIALIST': 0}
2025-05-27 19:47:09,101 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1371, MaxR=41.39, Pheno={'G_SPECIALIST': 1367, 'SWITCHING_GL': 4, 'L_SPECIALIST': 0}
