time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,20,17,18,10,8,0.4444,51.96
100,100.00,317,199,118,68,50,18,0.2647,175.78
200,200.00,901,614,287,126,98,28,0.2222,295.47
300,300.00,1837,1161,676,182,149,33,0.1813,408.41
400,400.00,3150,1943,1207,234,191,43,0.1838,540.28
500,500.00,4871,2970,1901,291,241,50,0.1718,660.91
600,600.00,6880,4084,2796,332,259,73,0.2199,786.89
700,700.00,9274,5320,3954,405,322,83,0.2049,919.95
800,800.00,12072,6852,5220,453,341,112,0.2472,1040.96
900,900.00,15190,8472,6718,516,422,94,0.1822,1157.76
999,999.00,18630,10436,8194,569,457,112,0.1968,1281.72
