2025-05-27 18:51:58,768 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=169, MaxR=16.52, Pheno={'G_SPECIALIST': 169, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,781 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=185, MaxR=17.58, Pheno={'G_SPECIALIST': 185, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,793 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=208, MaxR=17.58, Pheno={'G_SPECIALIST': 208, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,808 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=225, MaxR=19.29, Pheno={'G_SPECIALIST': 225, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,823 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=245, MaxR=21.07, Pheno={'G_SPECIALIST': 245, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,839 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=268, MaxR=21.07, Pheno={'G_SPECIALIST': 268, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,857 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=282, MaxR=21.07, Pheno={'G_SPECIALIST': 282, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,876 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=303, MaxR=22.52, Pheno={'G_SPECIALIST': 303, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,897 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=332, MaxR=22.72, Pheno={'G_SPECIALIST': 332, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,915 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=347
2025-05-27 18:51:58,919 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=347, MaxR=24.00, Pheno={'G_SPECIALIST': 347, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,943 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=376, MaxR=24.06, Pheno={'G_SPECIALIST': 376, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,969 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=411, MaxR=25.51, Pheno={'G_SPECIALIST': 411, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,997 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=443, MaxR=25.87, Pheno={'G_SPECIALIST': 443, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,025 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=469, MaxR=25.87, Pheno={'G_SPECIALIST': 469, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,055 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=492, MaxR=25.87, Pheno={'G_SPECIALIST': 492, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,087 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=517, MaxR=26.21, Pheno={'G_SPECIALIST': 517, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,122 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=550, MaxR=27.87, Pheno={'G_SPECIALIST': 550, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
