2025-05-27 18:33:33,377 - sim.ResponsiveHG_W5_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveHG_W5_Rep2
2025-05-27 18:33:33,378 - sim.ResponsiveHG_W5_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:33:33,378 - sim.ResponsiveHG_W5_Rep2 - INFO - simulation_engine:202 - Starting simulation: ResponsiveHG_W5_Rep2
2025-05-27 18:33:33,378 - sim.ResponsiveHG_W5_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:33:33,380 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,382 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=10, MaxR=3.46, Pheno={'G_SPECIALIST': 10, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,390 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=14, MaxR=4.58, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,392 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=15, MaxR=4.58, Pheno={'G_SPECIALIST': 15, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,395 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=20, MaxR=4.58, Pheno={'G_SPECIALIST': 20, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,398 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=26, MaxR=6.93, Pheno={'G_SPECIALIST': 26, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,400 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=30, MaxR=7.55, Pheno={'G_SPECIALIST': 30, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,404 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=38, MaxR=9.17, Pheno={'G_SPECIALIST': 38, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,408 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=45, MaxR=9.17, Pheno={'G_SPECIALIST': 45, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,413 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=54, MaxR=9.17, Pheno={'G_SPECIALIST': 54, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,416 - sim.ResponsiveHG_W5_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=65
2025-05-27 18:33:33,417 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=66, MaxR=9.64, Pheno={'G_SPECIALIST': 66, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,429 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=78, MaxR=10.54, Pheno={'G_SPECIALIST': 78, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,445 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=87, MaxR=10.54, Pheno={'G_SPECIALIST': 87, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,453 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=95, MaxR=11.36, Pheno={'G_SPECIALIST': 95, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:33:33,460 - sim.ResponsiveHG_W5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=110, MaxR=12.49, Pheno={'G_SPECIALIST': 110, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
