2025-05-27 19:21:38,950 - sim.ProbSweep_W10_P1.0_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P1.0_Rep3
2025-05-27 19:21:38,951 - sim.ProbSweep_W10_P1.0_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:21:38,951 - sim.ProbSweep_W10_P1.0_Rep3 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P1.0_Rep3
2025-05-27 19:21:38,951 - sim.ProbSweep_W10_P1.0_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:21:38,952 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,953 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=7, MaxR=3.00, Pheno={'G_SPECIALIST': 7, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,954 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=8, MaxR=3.00, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,955 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=10, MaxR=3.46, Pheno={'G_SPECIALIST': 10, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,956 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=16, MaxR=4.58, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,959 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=21, MaxR=6.24, Pheno={'G_SPECIALIST': 21, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,961 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=29, MaxR=6.24, Pheno={'G_SPECIALIST': 29, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,963 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=41, MaxR=7.55, Pheno={'G_SPECIALIST': 41, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,968 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=57, MaxR=9.00, Pheno={'G_SPECIALIST': 57, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,973 - sim.ProbSweep_W10_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=72, MaxR=9.64, Pheno={'G_SPECIALIST': 72, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:21:38,978 - sim.ProbSweep_W10_P1.0_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=87
