2025-05-27 18:49:32,763 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: BetHedging0.5_W20_Rep2
2025-05-27 18:49:32,764 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:49:32,765 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:202 - Starting simulation: BetHedging0.5_W20_Rep2
2025-05-27 18:49:32,765 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:49:32,766 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,767 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.00, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,768 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=10, MaxR=3.00, Pheno={'G_SPECIALIST': 10, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,769 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=12, MaxR=3.46, Pheno={'G_SPECIALIST': 12, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,771 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=14, MaxR=6.24, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,772 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=17, MaxR=6.24, Pheno={'G_SPECIALIST': 17, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,774 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=21, MaxR=7.55, Pheno={'G_SPECIALIST': 21, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,775 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=22, MaxR=7.55, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,777 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=28, MaxR=9.00, Pheno={'G_SPECIALIST': 28, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,780 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=33, MaxR=9.17, Pheno={'G_SPECIALIST': 33, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,782 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=35
2025-05-27 18:49:32,783 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=35, MaxR=9.64, Pheno={'G_SPECIALIST': 35, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,786 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=39, MaxR=10.39, Pheno={'G_SPECIALIST': 39, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,789 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=43, MaxR=10.54, Pheno={'G_SPECIALIST': 43, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,792 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=47, MaxR=10.54, Pheno={'G_SPECIALIST': 47, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,798 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=54, MaxR=12.12, Pheno={'G_SPECIALIST': 54, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,804 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=67, MaxR=13.75, Pheno={'G_SPECIALIST': 67, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,812 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=82, MaxR=14.18, Pheno={'G_SPECIALIST': 82, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,819 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=104, MaxR=17.32, Pheno={'G_SPECIALIST': 104, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,828 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=119, MaxR=17.32, Pheno={'G_SPECIALIST': 119, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,836 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=129, MaxR=17.32, Pheno={'G_SPECIALIST': 129, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,845 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=142
2025-05-27 18:49:32,847 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=146, MaxR=17.32, Pheno={'G_SPECIALIST': 146, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,858 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=162, MaxR=18.25, Pheno={'G_SPECIALIST': 162, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,869 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=175, MaxR=18.73, Pheno={'G_SPECIALIST': 175, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,882 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=197, MaxR=22.11, Pheno={'G_SPECIALIST': 197, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,897 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=217, MaxR=22.11, Pheno={'G_SPECIALIST': 217, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,912 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=235, MaxR=22.11, Pheno={'G_SPECIALIST': 235, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,928 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=258, MaxR=24.43, Pheno={'G_SPECIALIST': 258, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,945 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=272, MaxR=24.43, Pheno={'G_SPECIALIST': 272, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,963 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=296, MaxR=24.43, Pheno={'G_SPECIALIST': 296, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:32,983 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=314, MaxR=25.16, Pheno={'G_SPECIALIST': 314, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,000 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=325
2025-05-27 18:49:33,004 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=327, MaxR=25.98, Pheno={'G_SPECIALIST': 327, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,027 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=354, MaxR=25.98, Pheno={'G_SPECIALIST': 354, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,049 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=374, MaxR=25.98, Pheno={'G_SPECIALIST': 374, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,074 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=400, MaxR=26.66, Pheno={'G_SPECIALIST': 400, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,102 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=430, MaxR=26.89, Pheno={'G_SPECIALIST': 430, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,130 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=454, MaxR=27.50, Pheno={'G_SPECIALIST': 454, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,161 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=484, MaxR=28.83, Pheno={'G_SPECIALIST': 484, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,193 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=514, MaxR=30.45, Pheno={'G_SPECIALIST': 514, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,228 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=548, MaxR=32.08, Pheno={'G_SPECIALIST': 548, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,264 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=577, MaxR=32.08, Pheno={'G_SPECIALIST': 577, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,295 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=609
2025-05-27 18:49:33,302 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=611, MaxR=32.08, Pheno={'G_SPECIALIST': 611, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,343 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=651, MaxR=33.05, Pheno={'G_SPECIALIST': 651, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,387 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=697, MaxR=33.05, Pheno={'G_SPECIALIST': 697, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,434 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=742, MaxR=34.60, Pheno={'G_SPECIALIST': 742, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,484 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=785, MaxR=34.60, Pheno={'G_SPECIALIST': 785, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,536 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=825, MaxR=34.60, Pheno={'G_SPECIALIST': 825, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,594 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=872, MaxR=34.60, Pheno={'G_SPECIALIST': 872, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,651 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=923, MaxR=36.29, Pheno={'G_SPECIALIST': 923, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,712 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=966, MaxR=37.51, Pheno={'G_SPECIALIST': 966, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,775 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1017, MaxR=39.15, Pheno={'G_SPECIALIST': 1017, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,832 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1060
2025-05-27 18:49:33,844 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1067, MaxR=39.15, Pheno={'G_SPECIALIST': 1067, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,921 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1121, MaxR=39.15, Pheno={'G_SPECIALIST': 1121, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:49:33,997 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1167, MaxR=40.84, Pheno={'G_SPECIALIST': 1165, 'SWITCHING_GL': 2, 'L_SPECIALIST': 0}
2025-05-27 18:49:34,078 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1222, MaxR=40.95, Pheno={'G_SPECIALIST': 1217, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 18:49:34,162 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1276, MaxR=40.95, Pheno={'G_SPECIALIST': 1269, 'SWITCHING_GL': 7, 'L_SPECIALIST': 0}
2025-05-27 18:49:34,247 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1326, MaxR=41.39, Pheno={'G_SPECIALIST': 1316, 'SWITCHING_GL': 10, 'L_SPECIALIST': 0}
2025-05-27 18:49:34,336 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1380, MaxR=41.39, Pheno={'G_SPECIALIST': 1367, 'SWITCHING_GL': 13, 'L_SPECIALIST': 0}
2025-05-27 18:49:34,427 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1428, MaxR=41.39, Pheno={'G_SPECIALIST': 1413, 'SWITCHING_GL': 14, 'L_SPECIALIST': 1}
2025-05-27 18:49:34,521 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1478, MaxR=41.39, Pheno={'G_SPECIALIST': 1460, 'SWITCHING_GL': 14, 'L_SPECIALIST': 4}
2025-05-27 18:49:34,621 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1535, MaxR=42.88, Pheno={'G_SPECIALIST': 1514, 'SWITCHING_GL': 14, 'L_SPECIALIST': 7}
2025-05-27 18:49:34,706 - sim.BetHedging0.5_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1587
2025-05-27 18:49:34,726 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1594, MaxR=43.27, Pheno={'G_SPECIALIST': 1567, 'SWITCHING_GL': 17, 'L_SPECIALIST': 10}
2025-05-27 18:49:34,831 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1639, MaxR=43.27, Pheno={'G_SPECIALIST': 1606, 'SWITCHING_GL': 19, 'L_SPECIALIST': 14}
2025-05-27 18:49:34,939 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1682, MaxR=43.71, Pheno={'G_SPECIALIST': 1642, 'SWITCHING_GL': 21, 'L_SPECIALIST': 19}
2025-05-27 18:49:35,049 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1721, MaxR=43.71, Pheno={'G_SPECIALIST': 1675, 'SWITCHING_GL': 24, 'L_SPECIALIST': 22}
2025-05-27 18:49:35,162 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1757, MaxR=44.23, Pheno={'G_SPECIALIST': 1705, 'SWITCHING_GL': 27, 'L_SPECIALIST': 25}
2025-05-27 18:49:35,275 - sim.BetHedging0.5_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1796, MaxR=44.23, Pheno={'G_SPECIALIST': 1737, 'SWITCHING_GL': 30, 'L_SPECIALIST': 29}
