2025-05-27 18:45:31,707 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveHG_W20_Rep2
2025-05-27 18:45:31,708 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:45:31,708 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:202 - Starting simulation: ResponsiveHG_W20_Rep2
2025-05-27 18:45:31,708 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:45:31,709 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,710 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,718 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=14, MaxR=5.20, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,720 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=23, MaxR=5.20, Pheno={'G_SPECIALIST': 23, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,722 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=27, MaxR=6.24, Pheno={'G_SPECIALIST': 27, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,724 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=31, MaxR=6.24, Pheno={'G_SPECIALIST': 31, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,727 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=36, MaxR=7.55, Pheno={'G_SPECIALIST': 36, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,730 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=39, MaxR=7.94, Pheno={'G_SPECIALIST': 39, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,734 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=44, MaxR=8.66, Pheno={'G_SPECIALIST': 44, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,738 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=52, MaxR=9.64, Pheno={'G_SPECIALIST': 52, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,741 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=59
2025-05-27 18:45:31,743 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=59, MaxR=9.64, Pheno={'G_SPECIALIST': 59, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,748 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=69, MaxR=11.36, Pheno={'G_SPECIALIST': 69, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,753 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=77, MaxR=11.36, Pheno={'G_SPECIALIST': 77, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,760 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=90, MaxR=12.49, Pheno={'G_SPECIALIST': 90, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,767 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=101, MaxR=12.49, Pheno={'G_SPECIALIST': 101, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,773 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=113, MaxR=13.86, Pheno={'G_SPECIALIST': 113, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,782 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=126, MaxR=15.59, Pheno={'G_SPECIALIST': 126, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,792 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=143, MaxR=15.87, Pheno={'G_SPECIALIST': 143, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,803 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=160, MaxR=16.52, Pheno={'G_SPECIALIST': 160, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,814 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=174, MaxR=16.52, Pheno={'G_SPECIALIST': 174, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,825 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=191
2025-05-27 18:45:31,828 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=194, MaxR=18.25, Pheno={'G_SPECIALIST': 194, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,841 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=209, MaxR=18.25, Pheno={'G_SPECIALIST': 209, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,856 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=232, MaxR=18.25, Pheno={'G_SPECIALIST': 232, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,872 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=260, MaxR=19.29, Pheno={'G_SPECIALIST': 260, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,891 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=284, MaxR=21.70, Pheno={'G_SPECIALIST': 284, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,911 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=303, MaxR=22.52, Pheno={'G_SPECIALIST': 303, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,933 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=321, MaxR=24.43, Pheno={'G_SPECIALIST': 321, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,956 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=352, MaxR=24.43, Pheno={'G_SPECIALIST': 352, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:31,982 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=385, MaxR=25.16, Pheno={'G_SPECIALIST': 385, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:32,008 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=404, MaxR=25.98, Pheno={'G_SPECIALIST': 404, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:45:32,031 - sim.ResponsiveHG_W20_Rep2 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=427
2025-05-27 18:45:32,036 - sim.ResponsiveHG_W20_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=431, MaxR=27.22, Pheno={'G_SPECIALIST': 431, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
