2025-05-27 19:20:24,306 - sim.ProbSweep_W10_P1.0_Rep1 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P1.0_Rep1
2025-05-27 19:20:24,307 - sim.ProbSweep_W10_P1.0_Rep1 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:20:24,307 - sim.ProbSweep_W10_P1.0_Rep1 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P1.0_Rep1
2025-05-27 19:20:24,308 - sim.ProbSweep_W10_P1.0_Rep1 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:20:24,308 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,309 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,317 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=11, MaxR=4.58, Pheno={'G_SPECIALIST': 11, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,318 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=14, MaxR=6.24, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,320 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=19, MaxR=7.55, Pheno={'G_SPECIALIST': 19, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,322 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=24, MaxR=7.55, Pheno={'G_SPECIALIST': 24, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,325 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=30, MaxR=7.94, Pheno={'G_SPECIALIST': 30, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,327 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=36, MaxR=9.00, Pheno={'G_SPECIALIST': 36, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,330 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=40, MaxR=9.17, Pheno={'G_SPECIALIST': 40, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,333 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=53, MaxR=10.82, Pheno={'G_SPECIALIST': 53, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,337 - sim.ProbSweep_W10_P1.0_Rep1 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=65
2025-05-27 19:20:24,338 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=66, MaxR=12.12, Pheno={'G_SPECIALIST': 66, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,343 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=74, MaxR=13.75, Pheno={'G_SPECIALIST': 74, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:20:24,349 - sim.ProbSweep_W10_P1.0_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=86, MaxR=15.39, Pheno={'G_SPECIALIST': 86, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
