2025-05-27 18:42:24,030 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=77, MaxR=12.12, Pheno={'G_SPECIALIST': 77, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,035 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=85, MaxR=12.12, Pheno={'G_SPECIALIST': 85, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,041 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=88, MaxR=12.12, Pheno={'G_SPECIALIST': 88, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,048 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=94, MaxR=12.12, Pheno={'G_SPECIALIST': 94, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,056 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=104, MaxR=12.49, Pheno={'G_SPECIALIST': 104, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,064 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=113, MaxR=13.53, Pheno={'G_SPECIALIST': 113, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,073 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=119, MaxR=13.53, Pheno={'G_SPECIALIST': 119, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,081 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=127, MaxR=13.75, Pheno={'G_SPECIALIST': 127, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,090 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=138, MaxR=13.75, Pheno={'G_SPECIALIST': 138, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,099 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=153
2025-05-27 18:42:24,101 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=155, MaxR=13.75, Pheno={'G_SPECIALIST': 155, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,114 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=172, MaxR=15.39, Pheno={'G_SPECIALIST': 172, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,126 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=188, MaxR=15.39, Pheno={'G_SPECIALIST': 188, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,140 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=206, MaxR=16.52, Pheno={'G_SPECIALIST': 206, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,155 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=227, MaxR=16.52, Pheno={'G_SPECIALIST': 227, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,170 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=240, MaxR=17.06, Pheno={'G_SPECIALIST': 240, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,186 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=261, MaxR=18.33, Pheno={'G_SPECIALIST': 261, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,205 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=279, MaxR=18.33, Pheno={'G_SPECIALIST': 279, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,224 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=296, MaxR=18.33, Pheno={'G_SPECIALIST': 296, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,244 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=313, MaxR=18.73, Pheno={'G_SPECIALIST': 313, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,263 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=332
2025-05-27 18:42:24,267 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=335, MaxR=19.52, Pheno={'G_SPECIALIST': 335, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,292 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=368, MaxR=21.07, Pheno={'G_SPECIALIST': 368, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,318 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=394, MaxR=22.91, Pheno={'G_SPECIALIST': 394, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,345 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=410, MaxR=23.30, Pheno={'G_SPECIALIST': 410, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,374 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=428, MaxR=23.30, Pheno={'G_SPECIALIST': 428, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,404 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=458, MaxR=23.30, Pheno={'G_SPECIALIST': 458, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,435 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=471, MaxR=23.43, Pheno={'G_SPECIALIST': 471, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,467 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=490, MaxR=24.25, Pheno={'G_SPECIALIST': 490, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,501 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=522, MaxR=24.98, Pheno={'G_SPECIALIST': 522, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,534 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=545, MaxR=25.63, Pheno={'G_SPECIALIST': 545, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,564 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=567
2025-05-27 18:42:24,571 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=571, MaxR=25.98, Pheno={'G_SPECIALIST': 571, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,608 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=602, MaxR=28.62, Pheno={'G_SPECIALIST': 602, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,650 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=628, MaxR=28.62, Pheno={'G_SPECIALIST': 628, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,696 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=655, MaxR=29.60, Pheno={'G_SPECIALIST': 655, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,741 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=698, MaxR=31.32, Pheno={'G_SPECIALIST': 698, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,788 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=734, MaxR=31.51, Pheno={'G_SPECIALIST': 734, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,839 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=771, MaxR=31.61, Pheno={'G_SPECIALIST': 771, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
