2025-05-27 19:41:06,655 - sim.ProbSweep_W40_P1.0_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W40_P1.0_Rep3
2025-05-27 19:41:06,656 - sim.ProbSweep_W40_P1.0_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:41:06,657 - sim.ProbSweep_W40_P1.0_Rep3 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W40_P1.0_Rep3
2025-05-27 19:41:06,657 - sim.ProbSweep_W40_P1.0_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:41:06,658 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,658 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=6, MaxR=3.46, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,667 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=9, MaxR=4.58, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,668 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=13, MaxR=5.20, Pheno={'G_SPECIALIST': 13, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,670 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=18, MaxR=5.20, Pheno={'G_SPECIALIST': 18, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,671 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=21, MaxR=6.24, Pheno={'G_SPECIALIST': 21, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,673 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=27, MaxR=6.93, Pheno={'G_SPECIALIST': 27, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,676 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=31, MaxR=7.55, Pheno={'G_SPECIALIST': 31, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,679 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=35, MaxR=7.55, Pheno={'G_SPECIALIST': 35, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,680 - sim.ProbSweep_W40_P1.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=38, MaxR=7.55, Pheno={'G_SPECIALIST': 38, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:41:06,683 - sim.ProbSweep_W40_P1.0_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=47
