2025-05-27 19:50:07,807 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=167, MaxR=18.08, Pheno={'G_SPECIALIST': 167, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,816 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=182
2025-05-27 19:50:07,818 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=183, MaxR=18.08, Pheno={'G_SPECIALIST': 183, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,830 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=194, MaxR=18.33, Pheno={'G_SPECIALIST': 194, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,845 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=218, MaxR=21.63, Pheno={'G_SPECIALIST': 218, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,859 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=239, MaxR=21.63, Pheno={'G_SPECIALIST': 239, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,875 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=260, MaxR=21.63, Pheno={'G_SPECIALIST': 260, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,893 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=283, MaxR=21.63, Pheno={'G_SPECIALIST': 283, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,912 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=304, MaxR=22.52, Pheno={'G_SPECIALIST': 304, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,933 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=327, MaxR=22.52, Pheno={'G_SPECIALIST': 327, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,957 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=354, MaxR=22.65, Pheno={'G_SPECIALIST': 354, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:07,981 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=377, MaxR=22.91, Pheno={'G_SPECIALIST': 377, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,003 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=400
