2025-05-27 19:03:21,119 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P0.0_Rep3
2025-05-27 19:03:21,119 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:03:21,119 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P0.0_Rep3
2025-05-27 19:03:21,120 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:03:21,121 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,121 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=7, MaxR=3.46, Pheno={'G_SPECIALIST': 7, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,131 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,132 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=14, MaxR=5.20, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,134 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=22, MaxR=6.24, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,136 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=27, MaxR=6.24, Pheno={'G_SPECIALIST': 27, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,138 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=34, MaxR=9.17, Pheno={'G_SPECIALIST': 34, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,142 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=39, MaxR=9.17, Pheno={'G_SPECIALIST': 39, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,146 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=48, MaxR=10.39, Pheno={'G_SPECIALIST': 48, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,150 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=63, MaxR=11.36, Pheno={'G_SPECIALIST': 63, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,154 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=70
2025-05-27 19:03:21,155 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=71, MaxR=13.08, Pheno={'G_SPECIALIST': 71, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,161 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=84, MaxR=13.08, Pheno={'G_SPECIALIST': 84, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,168 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=96, MaxR=13.08, Pheno={'G_SPECIALIST': 96, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,176 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=112, MaxR=13.08, Pheno={'G_SPECIALIST': 112, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,184 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=123, MaxR=13.75, Pheno={'G_SPECIALIST': 123, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,194 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=136, MaxR=14.80, Pheno={'G_SPECIALIST': 136, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,204 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=144, MaxR=14.80, Pheno={'G_SPECIALIST': 144, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,214 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=158, MaxR=15.10, Pheno={'G_SPECIALIST': 158, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,227 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=174, MaxR=17.58, Pheno={'G_SPECIALIST': 174, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,239 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=193, MaxR=17.58, Pheno={'G_SPECIALIST': 193, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,249 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=203
2025-05-27 19:03:21,252 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=204, MaxR=17.58, Pheno={'G_SPECIALIST': 204, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,267 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=226, MaxR=18.25, Pheno={'G_SPECIALIST': 226, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,283 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=246, MaxR=19.29, Pheno={'G_SPECIALIST': 246, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,300 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=263, MaxR=19.97, Pheno={'G_SPECIALIST': 263, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,318 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=284, MaxR=19.97, Pheno={'G_SPECIALIST': 284, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,338 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=307, MaxR=21.07, Pheno={'G_SPECIALIST': 307, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,361 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=335, MaxR=22.11, Pheno={'G_SPECIALIST': 335, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,384 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=362, MaxR=23.30, Pheno={'G_SPECIALIST': 362, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,410 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=394, MaxR=24.98, Pheno={'G_SPECIALIST': 394, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,438 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=429, MaxR=24.98, Pheno={'G_SPECIALIST': 429, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,463 - sim.ProbSweep_W10_P0.0_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=451
2025-05-27 19:03:21,470 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=452, MaxR=25.51, Pheno={'G_SPECIALIST': 452, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,501 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=491, MaxR=25.51, Pheno={'G_SPECIALIST': 491, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,534 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=519, MaxR=26.21, Pheno={'G_SPECIALIST': 519, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,568 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=543, MaxR=26.21, Pheno={'G_SPECIALIST': 543, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,606 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=571, MaxR=28.83, Pheno={'G_SPECIALIST': 571, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,644 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=606, MaxR=29.14, Pheno={'G_SPECIALIST': 606, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:03:21,688 - sim.ProbSweep_W10_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=640, MaxR=30.20, Pheno={'G_SPECIALIST': 640, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
