2025-05-27 19:42:18,301 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=126, MaxR=16.70, Pheno={'G_SPECIALIST': 126, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,308 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=142
2025-05-27 19:42:18,310 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=142, MaxR=18.33, Pheno={'G_SPECIALIST': 142, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,320 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=154, MaxR=18.33, Pheno={'G_SPECIALIST': 154, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,331 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=169, MaxR=18.33, Pheno={'G_SPECIALIST': 169, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,344 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=186, MaxR=19.67, Pheno={'G_SPECIALIST': 186, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,359 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=215, MaxR=19.97, Pheno={'G_SPECIALIST': 215, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,375 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=231, MaxR=19.97, Pheno={'G_SPECIALIST': 231, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,394 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=252, MaxR=22.52, Pheno={'G_SPECIALIST': 252, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,413 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=277, MaxR=22.52, Pheno={'G_SPECIALIST': 277, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,435 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=307, MaxR=22.52, Pheno={'G_SPECIALIST': 307, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,455 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=333, MaxR=22.52, Pheno={'G_SPECIALIST': 333, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,476 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=364
2025-05-27 19:42:18,481 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=367, MaxR=24.06, Pheno={'G_SPECIALIST': 367, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
