time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian
0,0.00,37,17,20,18,7,11,0.6111,51.96
100,100.00,315,166,149,72,49,23,0.3194,190.53
200,200.00,903,461,442,120,82,38,0.3167,307.90
300,300.00,1840,801,1039,174,108,66,0.3793,423.20
400,400.00,3089,1272,1817,234,160,74,0.3162,555.07
500,500.00,4719,1899,2820,286,218,68,0.2378,690.87
600,600.00,6705,2580,4125,334,229,105,0.3144,798.81
700,700.00,8993,3266,5727,393,267,126,0.3206,911.10
800,800.00,11672,4075,7597,460,323,137,0.2978,1040.96
900,900.00,14709,4959,9750,504,346,158,0.3135,1189.83
999,999.00,18040,5745,12295,553,371,182,0.3291,1298.00
