2025-05-27 18:46:13,193 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveHG_W20_Rep3
2025-05-27 18:46:13,194 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:46:13,194 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:202 - Starting simulation: ResponsiveHG_W20_Rep3
2025-05-27 18:46:13,195 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:46:13,195 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,196 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=7, MaxR=1.73, Pheno={'G_SPECIALIST': 7, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,198 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=8, MaxR=3.00, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,199 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=9, MaxR=3.00, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,200 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=11, MaxR=4.58, Pheno={'G_SPECIALIST': 11, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,201 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=14, MaxR=5.20, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,203 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=16, MaxR=5.20, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,205 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=22, MaxR=6.93, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,208 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=28, MaxR=7.94, Pheno={'G_SPECIALIST': 28, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,211 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=38, MaxR=7.94, Pheno={'G_SPECIALIST': 38, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,214 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=45
2025-05-27 18:46:13,215 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=45, MaxR=7.94, Pheno={'G_SPECIALIST': 45, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,220 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=53, MaxR=9.17, Pheno={'G_SPECIALIST': 53, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,228 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=67, MaxR=9.17, Pheno={'G_SPECIALIST': 67, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,233 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=73, MaxR=9.17, Pheno={'G_SPECIALIST': 73, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,239 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=80, MaxR=11.36, Pheno={'G_SPECIALIST': 80, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,245 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=91, MaxR=12.12, Pheno={'G_SPECIALIST': 91, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,253 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=104, MaxR=13.08, Pheno={'G_SPECIALIST': 104, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,262 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=123, MaxR=14.80, Pheno={'G_SPECIALIST': 123, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,272 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=137, MaxR=15.87, Pheno={'G_SPECIALIST': 137, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,283 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=152, MaxR=17.58, Pheno={'G_SPECIALIST': 152, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:46:13,293 - sim.ResponsiveHG_W20_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=162
2025-05-27 18:46:13,296 - sim.ResponsiveHG_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=163, MaxR=17.58, Pheno={'G_SPECIALIST': 163, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
