2025-05-27 19:19:08,081 - sim.ProbSweep_W10_P0.9_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P0.9_Rep2
2025-05-27 19:19:08,081 - sim.ProbSweep_W10_P0.9_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:19:08,081 - sim.ProbSweep_W10_P0.9_Rep2 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P0.9_Rep2
2025-05-27 19:19:08,081 - sim.ProbSweep_W10_P0.9_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:19:08,082 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,084 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,091 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=9, MaxR=4.58, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,093 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=16, MaxR=6.00, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,094 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=17, MaxR=6.00, Pheno={'G_SPECIALIST': 17, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,096 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=25, MaxR=7.55, Pheno={'G_SPECIALIST': 25, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,099 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=29, MaxR=7.55, Pheno={'G_SPECIALIST': 29, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,102 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=39, MaxR=7.94, Pheno={'G_SPECIALIST': 39, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,105 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=44, MaxR=8.66, Pheno={'G_SPECIALIST': 44, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,108 - sim.ProbSweep_W10_P0.9_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=47, MaxR=8.66, Pheno={'G_SPECIALIST': 47, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:19:08,111 - sim.ProbSweep_W10_P0.9_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=52
