2025-05-27 19:23:29,270 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W40_P0.0_Rep3
2025-05-27 19:23:29,271 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:23:29,271 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W40_P0.0_Rep3
2025-05-27 19:23:29,271 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:23:29,271 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,273 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.00, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,275 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=11, MaxR=3.46, Pheno={'G_SPECIALIST': 11, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,276 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=13, MaxR=5.20, Pheno={'G_SPECIALIST': 13, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,277 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=16, MaxR=6.93, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,278 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=16, MaxR=6.93, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,280 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=19, MaxR=6.93, Pheno={'G_SPECIALIST': 19, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,282 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=25, MaxR=9.64, Pheno={'G_SPECIALIST': 25, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,285 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=31, MaxR=9.64, Pheno={'G_SPECIALIST': 31, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,288 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=40, MaxR=10.54, Pheno={'G_SPECIALIST': 40, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,290 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=45
2025-05-27 19:23:29,291 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=46, MaxR=10.82, Pheno={'G_SPECIALIST': 46, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,294 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=55, MaxR=10.82, Pheno={'G_SPECIALIST': 55, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,299 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=71, MaxR=13.08, Pheno={'G_SPECIALIST': 71, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,306 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=86, MaxR=13.75, Pheno={'G_SPECIALIST': 86, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,312 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=101, MaxR=14.80, Pheno={'G_SPECIALIST': 101, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,320 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=121, MaxR=14.80, Pheno={'G_SPECIALIST': 121, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,330 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=136, MaxR=15.87, Pheno={'G_SPECIALIST': 136, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,339 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=147, MaxR=15.87, Pheno={'G_SPECIALIST': 147, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,350 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=157, MaxR=17.58, Pheno={'G_SPECIALIST': 157, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,360 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=171, MaxR=17.58, Pheno={'G_SPECIALIST': 171, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,371 - sim.ProbSweep_W40_P0.0_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=195
2025-05-27 19:23:29,374 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=199, MaxR=19.29, Pheno={'G_SPECIALIST': 199, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,388 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=223, MaxR=21.00, Pheno={'G_SPECIALIST': 223, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,403 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=247, MaxR=21.00, Pheno={'G_SPECIALIST': 247, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,419 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=256, MaxR=21.70, Pheno={'G_SPECIALIST': 256, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,437 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=284, MaxR=21.70, Pheno={'G_SPECIALIST': 284, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,459 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=305, MaxR=22.72, Pheno={'G_SPECIALIST': 305, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,479 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=327, MaxR=22.72, Pheno={'G_SPECIALIST': 327, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:23:29,501 - sim.ProbSweep_W40_P0.0_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=353, MaxR=23.43, Pheno={'G_SPECIALIST': 353, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
