2025-05-27 19:02:44,771 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P0.0_Rep2
2025-05-27 19:02:44,772 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:02:44,772 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P0.0_Rep2
2025-05-27 19:02:44,772 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:02:44,772 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,773 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,775 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=11, MaxR=4.58, Pheno={'G_SPECIALIST': 11, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,776 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=13, MaxR=6.00, Pheno={'G_SPECIALIST': 13, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,778 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=16, MaxR=6.00, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,780 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=20, MaxR=6.24, Pheno={'G_SPECIALIST': 20, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,782 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=22, MaxR=6.24, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,783 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=24, MaxR=7.94, Pheno={'G_SPECIALIST': 24, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,786 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=33, MaxR=9.17, Pheno={'G_SPECIALIST': 33, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,789 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=41, MaxR=9.17, Pheno={'G_SPECIALIST': 41, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,791 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=47
2025-05-27 19:02:44,793 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=48, MaxR=9.17, Pheno={'G_SPECIALIST': 48, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,796 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=52, MaxR=10.82, Pheno={'G_SPECIALIST': 52, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,801 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=55, MaxR=10.82, Pheno={'G_SPECIALIST': 55, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,805 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=59, MaxR=10.82, Pheno={'G_SPECIALIST': 59, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,809 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=67, MaxR=10.82, Pheno={'G_SPECIALIST': 67, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,815 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=76, MaxR=11.36, Pheno={'G_SPECIALIST': 76, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,821 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=89, MaxR=12.12, Pheno={'G_SPECIALIST': 89, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,828 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=113, MaxR=15.10, Pheno={'G_SPECIALIST': 113, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,838 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=129, MaxR=15.10, Pheno={'G_SPECIALIST': 129, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,850 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=151, MaxR=16.70, Pheno={'G_SPECIALIST': 151, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:02:44,858 - sim.ProbSweep_W10_P0.0_Rep2 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=158
2025-05-27 19:02:44,860 - sim.ProbSweep_W10_P0.0_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=160, MaxR=16.70, Pheno={'G_SPECIALIST': 160, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
