2025-05-27 18:48:12,003 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveLL_W20_Rep3
2025-05-27 18:48:12,004 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:48:12,005 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:202 - Starting simulation: ResponsiveLL_W20_Rep3
2025-05-27 18:48:12,005 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:48:12,006 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,006 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=9, MaxR=4.58, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,008 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=14, MaxR=5.20, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,010 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=20, MaxR=6.24, Pheno={'G_SPECIALIST': 20, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,012 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=24, MaxR=6.24, Pheno={'G_SPECIALIST': 24, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,014 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=32, MaxR=7.94, Pheno={'G_SPECIALIST': 32, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,017 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=39, MaxR=7.94, Pheno={'G_SPECIALIST': 39, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,021 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=48, MaxR=11.36, Pheno={'G_SPECIALIST': 48, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,025 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=53, MaxR=11.36, Pheno={'G_SPECIALIST': 53, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,028 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=59, MaxR=11.36, Pheno={'G_SPECIALIST': 59, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,032 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=73
2025-05-27 18:48:12,034 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=76, MaxR=14.18, Pheno={'G_SPECIALIST': 76, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,040 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=88, MaxR=15.39, Pheno={'G_SPECIALIST': 88, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,046 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=101, MaxR=17.06, Pheno={'G_SPECIALIST': 101, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,054 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=118, MaxR=17.06, Pheno={'G_SPECIALIST': 118, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,062 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=133, MaxR=17.06, Pheno={'G_SPECIALIST': 133, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,073 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=150, MaxR=17.06, Pheno={'G_SPECIALIST': 150, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,083 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=165, MaxR=18.73, Pheno={'G_SPECIALIST': 165, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,094 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=182, MaxR=19.97, Pheno={'G_SPECIALIST': 182, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,108 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=198, MaxR=19.97, Pheno={'G_SPECIALIST': 198, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,122 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=211, MaxR=21.28, Pheno={'G_SPECIALIST': 211, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,133 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=228
2025-05-27 18:48:12,136 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=229, MaxR=21.28, Pheno={'G_SPECIALIST': 229, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,151 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=252, MaxR=21.28, Pheno={'G_SPECIALIST': 252, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,170 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=284, MaxR=24.25, Pheno={'G_SPECIALIST': 284, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,189 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=311, MaxR=27.22, Pheno={'G_SPECIALIST': 311, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,209 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=333, MaxR=27.22, Pheno={'G_SPECIALIST': 333, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,230 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=351, MaxR=27.87, Pheno={'G_SPECIALIST': 351, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,256 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=377, MaxR=27.87, Pheno={'G_SPECIALIST': 377, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,280 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=404, MaxR=29.44, Pheno={'G_SPECIALIST': 404, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,308 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=443, MaxR=29.60, Pheno={'G_SPECIALIST': 443, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,338 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=479, MaxR=29.60, Pheno={'G_SPECIALIST': 479, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:48:12,365 - sim.ResponsiveLL_W20_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=511
2025-05-27 18:48:12,370 - sim.ResponsiveLL_W20_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=514, MaxR=30.64, Pheno={'G_SPECIALIST': 514, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
