2025-05-27 19:16:44,229 - sim.ProbSweep_W10_P0.8_Rep1 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P0.8_Rep1
2025-05-27 19:16:44,231 - sim.ProbSweep_W10_P0.8_Rep1 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:16:44,231 - sim.ProbSweep_W10_P0.8_Rep1 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P0.8_Rep1
2025-05-27 19:16:44,231 - sim.ProbSweep_W10_P0.8_Rep1 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:16:44,231 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,233 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,234 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=6, MaxR=3.46, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,235 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,236 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=9, MaxR=3.46, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,237 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=11, MaxR=3.46, Pheno={'G_SPECIALIST': 11, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,238 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=15, MaxR=4.58, Pheno={'G_SPECIALIST': 15, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,240 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=16, MaxR=4.58, Pheno={'G_SPECIALIST': 16, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,241 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=22, MaxR=7.55, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,243 - sim.ProbSweep_W10_P0.8_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=28, MaxR=7.94, Pheno={'G_SPECIALIST': 28, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:16:44,245 - sim.ProbSweep_W10_P0.8_Rep1 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=36
